energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
113.06112182019595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.95569925995758,0.0,0.0,0.0,0.0,5.234726813193649e-09,5.234726813193649e-09,0.0,0.0
116.88202433867298,0.0,0.0,0.0,0.0,1.5445360858103684e-08,8.826849094744434e-09,0.0,0.0
118.8406290549599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.83205432219434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.85685011789631,0.0,0.0,0.0,0.0,4.898071867120339e-09,4.898071867120339e-09,0.0,0.0
124.91557563561864,0.0,0.0,0.0,0.0,1.4452041185020231e-08,1.0728304328107817e-08,0.0,0.0
127.00879943938074,0.0,0.0,0.0,0.0,4.737952676520929e-09,4.737952676520929e-09,0.0,0.0
129.13709962069098,0.0,0.0,0.0,0.0,9.319733570182594e-09,9.319733570182594e-09,0.0,0.0
131.30106395819956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.50129008002705,0.0,0.0,0.0,0.0,9.015069156032345e-09,6.3423397862926194e-09,0.0,0.0
135.73838562881286,0.0,0.0,0.0,0.0,4.433246192356275e-09,4.433246192356275e-09,0.0,0.0
138.0129684295301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.32566666011164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.67711902493568,0.0,0.0,0.0,0.0,8.435293414361028e-09,5.934452204967879e-09,0.0,0.0
145.06797493121894,0.0,0.0,0.0,0.0,4.1481359447583315e-09,4.1481359447583315e-09,0.0,0.0
147.49889466836512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
